year,county_name,fips,school_age_pop_pep,county
2014,Upshur County,54097,3652,Upshur
2015,Upshur County,54097,3673,Upshur
2016,Upshur County,54097,3690,Upshur
2017,Upshur County,54097,3719,Upshur
2018,Upshur County,54097,3717,Upshur
2019,Upshur County,54097,3701,Upshur
2020,Upshur County,54097,3717,Upshur
2021,Upshur County,54097,3719,Upshur
2022,Upshur County,54097,3698,Upshur
2023,Upshur County,54097,3668,Upshur
2024,Upshur County,54097,3624,Upshur
2025,Upshur County,54097,3575,Upshur
2011,Wayne County,54099,6978,Wayne
2012,Wayne County,54099,6940,Wayne
2013,Wayne County,54099,6885,Wayne
2014,Wayne County,54099,6782,Wayne
2015,Wayne County,54099,6681,Wayne
2016,Wayne County,54099,6454,Wayne
2017,Wayne County,54099,6245,Wayne
2018,Wayne County,54099,6116,Wayne
2019,Wayne County,54099,6019,Wayne
2020,Wayne County,54099,6426,Wayne
2021,Wayne County,54099,6275,Wayne
2022,Wayne County,54099,6080,Wayne
2023,Wayne County,54099,5939,Wayne
2024,Wayne County,54099,5905,Wayne
2025,Wayne County,54099,5753,Wayne
2011,Webster County,54101,1382,Webster
2012,Webster County,54101,1300,Webster
2013,Webster County,54101,1271,Webster
2014,Webster County,54101,1252,Webster
2015,Webster County,54101,1292,Webster
2016,Webster County,54101,1299,Webster
2017,Webster County,54101,1281,Webster
2018,Webster County,54101,1264,Webster
2019,Webster County,54101,1215,Webster
2020,Webster County,54101,1256,Webster
2021,Webster County,54101,1236,Webster
2022,Webster County,54101,1217,Webster
2023,Webster County,54101,1194,Webster
2024,Webster County,54101,1178,Webster
2025,Webster County,54101,1144,Webster
2011,Wetzel County,54103,2529,Wetzel
2012,Wetzel County,54103,2523,Wetzel
2013,Wetzel County,54103,2446,Wetzel
2014,Wetzel County,54103,2377,Wetzel
2015,Wetzel County,54103,2337,Wetzel
2016,Wetzel County,54103,2278,Wetzel
2017,Wetzel County,54103,2228,Wetzel
2018,Wetzel County,54103,2216,Wetzel
2019,Wetzel County,54103,2190,Wetzel
2020,Wetzel County,54103,2083,Wetzel
2021,Wetzel County,54103,2077,Wetzel
2022,Wetzel County,54103,2072,Wetzel
2023,Wetzel County,54103,2084,Wetzel
2024,Wetzel County,54103,2046,Wetzel
2025,Wetzel County,54103,2064,Wetzel
2011,Wirt County,54105,900,Wirt
2012,Wirt County,54105,920,Wirt
2013,Wirt County,54105,934,Wirt
2014,Wirt County,54105,929,Wirt
2015,Wirt County,54105,944,Wirt
2016,Wirt County,54105,922,Wirt
2017,Wirt County,54105,942,Wirt
2018,Wirt County,54105,953,Wirt
2019,Wirt County,54105,973,Wirt
2020,Wirt County,54105,839,Wirt
2021,Wirt County,54105,808,Wirt
2022,Wirt County,54105,826,Wirt
2023,Wirt County,54105,798,Wirt
2024,Wirt County,54105,775,Wirt
2025,Wirt County,54105,766,Wirt
2011,Wood County,54107,13926,Wood
2012,Wood County,54107,13750,Wood
2013,Wood County,54107,13706,Wood
2014,Wood County,54107,13516,Wood
2015,Wood County,54107,13501,Wood
2016,Wood County,54107,13325,Wood
2017,Wood County,54107,13028,Wood
2018,Wood County,54107,12863,Wood
2019,Wood County,54107,12851,Wood
2020,Wood County,54107,12982,Wood
2021,Wood County,54107,12947,Wood
2022,Wood County,54107,12877,Wood
2023,Wood County,54107,12767,Wood
2024,Wood County,54107,12603,Wood
2025,Wood County,54107,12468,Wood
2011,Wyoming County,54109,3746,Wyoming
2012,Wyoming County,54109,3744,Wyoming
2013,Wyoming County,54109,3666,Wyoming
2014,Wyoming County,54109,3633,Wyoming
2015,Wyoming County,54109,3514,Wyoming
2016,Wyoming County,54109,3433,Wyoming
2017,Wyoming County,54109,3331,Wyoming
2018,Wyoming County,54109,3222,Wyoming
2019,Wyoming County,54109,3199,Wyoming
2020,Wyoming County,54109,3405,Wyoming
2021,Wyoming County,54109,3267,Wyoming
2022,Wyoming County,54109,3155,Wyoming
2023,Wyoming County,54109,3071,Wyoming
2024,Wyoming County,54109,2965,Wyoming
2025,Wyoming County,54109,2885,Wyoming
