School,SchlID,last_reported_type,inferred_type,Enrollment,Pre-K,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,elementary_enrollment,elementary_middle_enrollment,middle_enrollment,high_enrollment,elementary_pct,elementary_middle_pct,middle_pct,high_pct,has_grade78,has_lower_elem,has_high_grades,inferred_grade_type,final_type,final_type_note
ASHFORD-RUMBLE ELEMENTARY,006201,Elementary,elementary,128.5,8.6875,17.9375,17.8125,18.875,18.75,19.5625,19.875,7,0,0,0,0,0,0,128.5,128.5,26.875,0,1,1,0.2091439688715953,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
JEFFREY-SPENCER ELEMENTARY,006205,,elementary,124.16666666666669,14,19.166666666666668,18.83333333333333,18.83333333333333,18.5,18,16.833333333333332,0,0,0,0,0,0,0,124.16666666666666,124.16666666666666,16.833333333333332,0,1,1,0.1355704697986577,0,FALSE,TRUE,FALSE,elementary,elementary,no last_reported_type; inferred_grade_type=elementary (name: elementary)
MADISON ELEMENTARY,006207,Elementary,elementary,348.625,49.125,52.8125,49.5625,50.0625,50.1875,48.8125,48.0625,0,0,0,0,0,0,0,348.625,348.625,48.0625,0,1,1,0.137863033,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
NELLIS ELEMENTARY,006209,,elementary,101,16.333333333333332,13.166666666666666,13,13.166666666666666,12.166666666666666,12.666666666666666,11,9.5,0,0,0,0,0,0,101,101,20.5,0,1,1,0.2029702970297029,0,FALSE,TRUE,FALSE,elementary,elementary,no last_reported_type; inferred_grade_type=elementary (name: elementary)
RAMAGE ELEMENTARY,006212,Elementary,elementary,227.375,25.1875,30.875,31.9375,33.375,33.875,34.75,37.375,0,0,0,0,0,0,0,227.375,227.375,37.375,0,1,1,0.1643760307861462,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
VAN ELEMENTARY,006215,Elementary,elementary,137.875,11.0625,21.25,21.375,21.0625,20.75,20.6875,21.6875,0,0,0,0,0,0,0,137.875,137.875,21.6875,0,1,1,0.157298277,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
WHARTON ELEMENTARY,006216,,elementary,119.83333333333331,15,18,17,16.833333333333332,17.833333333333332,18.33333333333333,16.833333333333332,0,0,0,0,0,0,0,119.83333333333331,119.83333333333331,16.833333333333332,0,1,1,0.1404728789986091,0,FALSE,TRUE,FALSE,elementary,elementary,no last_reported_type; inferred_grade_type=elementary (name: elementary)
SHERMAN ELEMENTARY SCHOOL,006219,Elementary,elementary,350.1875,36.125,48.1875,49.125,45.75,47.25,48.5625,48.3125,26.875,0,0,0,0,0,0,350.1875,350.1875,75.1875,0,1,1,0.2147064072818133,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
BROOKVIEW ELEMENTARY,006220,Elementary,elementary,410.4375,43.25,60.25,59.6875,58.75,59.9375,63.0625,65.5,0,0,0,0,0,0,0,410.4375,410.4375,65.5,0,1,1,0.1595858078270138,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
MADISON MIDDLE SCHOOL,006301,Middle,middle,493.25,0,0,0,0,0,0,0,161.4375,163.75,168.0625,0,0,0,0,161.4375,493.25,493.25,0,0.3272934617334009,1,1,0,TRUE,FALSE,FALSE,middle,middle,last_reported=Middle
SHERMAN JUNIOR HIGH SCHOOL,006401,Middle,high,240.3125,0,0,0,0,0,0,0,47.25,95.5,97.5625,0,0,0,0,47.25,240.3125,240.3125,0,0.1966189856957087,1,1,0,TRUE,FALSE,FALSE,middle,middle,last_reported=Middle; inferred_type=high (junior-high naming) overridden — inferred_grade_type=middle confirms no Gr 9-12 grades
SCOTT HIGH SCHOOL,006501,Secondary,high,637.5,0,0,0,0,0,0,0,0,0,0,186.3125,161.75,149.1875,140.25,0,0,0,637.5,0,0,0,1,FALSE,FALSE,TRUE,high,high,last_reported=Secondary
SHERMAN HIGH SCHOOL,006502,Secondary,high,385.875,0,0,0,0,0,0,0,0,0,0,106.5,101.75,93.3125,84.3125,0,0,0,385.875,0,0,0,1,FALSE,FALSE,TRUE,high,high,last_reported=Secondary
VAN JUNIOR/SENIOR HIGH SCHOOL,006503,Secondary,high,209.875,0,0,0,0,0,0,0,30.9375,31.1875,30.25,30.9375,30.4375,29.5,26.625,30.9375,92.375,92.375,117.5,0.1474091721262656,0.4401429422275164,0.4401429422275164,0.5598570577724836,TRUE,FALSE,TRUE,high,high,last_reported=Secondary
BURNSVILLE ELEMENTARY SCHOOL,008101,Elementary,elementary,136,15.375,17.8125,18.875,18.8125,19.5625,19.125,18.5625,7.875,0,0,0,0,0,0,136,136,26.4375,0,1,1,0.1943933823529411,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
DAVIS ELEMENTARY SCHOOL,008201,Elementary,elementary,182,20.5625,25,25.5625,26.4375,25.625,26.4375,23.375,9,0,0,0,0,0,0,182,182,32.375,0,1,1,0.1778846153846154,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
FLATWOODS ELEMENTARY SCHOOL,008202,Elementary,elementary,209,19.8125,27.75,30.125,29.75,30.4375,30.3125,28,12.8125,0,0,0,0,0,0,209,209,40.8125,0,1,1,0.1952751196172248,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
FRAMETOWN ELEMENTARY SCHOOL,008203,Elementary,elementary,151.875,17.5625,21.9375,21.75,22.0625,20.625,20.8125,19.3125,7.8125,0,0,0,0,0,0,151.875,151.875,27.125,0,1,1,0.1786008230452674,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
