School,SchlID,last_reported_type,inferred_type,Enrollment,Pre-K,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,elementary_enrollment,elementary_middle_enrollment,middle_enrollment,high_enrollment,elementary_pct,elementary_middle_pct,middle_pct,high_pct,has_grade78,has_lower_elem,has_high_grades,inferred_grade_type,final_type,final_type_note
ICE MOUNTAIN ELEMENTARY SCHOOL,028210,Elementary,elementary,207,21,34.5,34,37,28,28,24.5,0,0,0,0,0,0,0,207,207,24.5,0,1,1,0.1183574879227053,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
WINDY RIDGE ELEMENTARY SCHOOL,028211,Elementary,elementary,331.5,36.5,53,44,48.5,51.5,53,45,0,0,0,0,0,0,0,331.5,331.5,45,0,1,1,0.1357466063348416,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
SOUTH BRANCH ELEMENTARY SCHOOL,028212,Elementary,elementary,484,60.5,67,71,67,71.5,76.5,70.5,0,0,0,0,0,0,0,484,484,70.5,0,1,1,0.1456611570247933,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
CAPON BRIDGE MIDDLE SCHOOL,028401,Middle,middle,294.3125,0,0,0,0,0,0,0,96.125,98.1875,100,0,0,0,0,96.125,294.3125,294.3125,0,0.3266086217880654,1,1,0,TRUE,FALSE,FALSE,middle,middle,last_reported=Middle
ROMNEY MIDDLE SCHOOL,028402,Middle,middle,401.0625,0,0,0,0,0,0,0,133.4375,133.1875,134.4375,0,0,0,0,133.4375,401.0625,401.0625,0,0.3327099890914757,1,1,0,TRUE,FALSE,FALSE,middle,middle,last_reported=Middle
HAMPSHIRE SENIOR HIGH SCHOOL,028501,Secondary,high,943.125,0,0,0,0,0,0,0,0,0.25,0.625,249.6875,238.5625,229.9375,224.0625,0,0.875,0.875,942.25,0,0.000927767,0.000927767,0.9990722332670644,FALSE,FALSE,TRUE,high,high,last_reported=Secondary
BROADVIEW ELEMENTARY SCHOOL,029201,,elementary,382,115.25,61.25,53.75,54.25,47,50.5,0,0,0,0,0,0,0,0,382,382,0,0,1,1,0,0,FALSE,TRUE,FALSE,elementary,elementary,no last_reported_type; inferred_grade_type=elementary (name: elementary)
LIBERTY ELEMENTARY SCHOOL,029205,,elementary,241,11.5,46.75,45.25,42.75,49.75,45,0,0,0,0,0,0,0,0,241,241,0,0,1,1,0,0,FALSE,TRUE,FALSE,elementary,elementary,no last_reported_type; inferred_grade_type=elementary (name: elementary)
NEW MANCHESTER ELEMENTARY SCHOOL,029208,Elementary,elementary,307.1875,45.8125,51.125,51.25,51.5,52.375,55.125,0,0,0,0,0,0,0,0,307.1875,307.1875,0,0,1,1,0,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
WEIRTON HEIGHTS ELEMENTARY SCHOOL,029209,,elementary,375.5,10,87,72.25,69.25,68,69,0,0,0,0,0,0,0,0,375.5,375.5,0,0,1,1,0,0,FALSE,TRUE,FALSE,elementary,elementary,no last_reported_type; inferred_grade_type=elementary (name: elementary)
A. T. ALLISON ELEMENTARY SCHOOL,029210,Elementary,elementary,375.875,32.5625,66.25,65.9375,67.625,70.5625,72.9375,0,0,0,0,0,0,0,0,375.875,375.875,0,0,1,1,0,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
WEIRTON ELEMENTARY,029211,Elementary,elementary,865,126.33333333333331,148.33333333333334,150.91666666666666,145,146.5,147.91666666666666,0,0,0,0,0,0,0,0,865,865,0,0,1,1,0,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
WEIR MIDDLE SCHOOL,029301,Middle,middle,616.4375,0,0,0,0,0,0,151.4375,152.125,155.375,157.5,0,0,0,0,303.5625,616.4375,616.4375,0,0.4924465172868296,1,1,0,TRUE,FALSE,FALSE,middle,middle,last_reported=Middle
OAK GLEN MIDDLE SCHOOL,029303,Middle,middle,541.875,0,0,0,0,0,0,132.625,133.25,137.625,138.375,0,0,0,0,265.875,541.875,541.875,0,0.4906574394463668,1,1,0,TRUE,FALSE,FALSE,middle,middle,last_reported=Middle
OAK GLEN HIGH SCHOOL,029501,Secondary,high,534.375,0.8125,0,0,0,0,0,0,0,0,0,162.375,131.4375,124.25,115.5,0.8125,0.8125,0,533.5625,0.001520468,0.001520468,0,0.9984795321637427,FALSE,TRUE,TRUE,high,high,last_reported=Secondary
WEIR HIGH SCHOOL,029502,Secondary,high,621,0,0,0,0,0,0,0,0,0,0,166.5,160.5,151.5625,142.4375,0,0,0,621,0,0,0,1,FALSE,FALSE,TRUE,high,high,last_reported=Secondary
MOOREFIELD ELEMENTARY SCHOOL,031202,Primary,elementary,455.625,103.4375,124.0625,116.25,111.875,0,0,0,0,0,0,0,0,0,0,455.625,455.625,0,0,1,1,0,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Primary
EAST HARDY EARLY/MIDDLE SCHOOL,031204,Middle,middle,460.9375,33.1875,47.875,47.375,49.0625,48,49.5,48.375,51.5,43.1875,42.875,0,0,0,0,374.875,460.9375,185.9375,0,0.8132881355932203,1,0.4033898305084746,0,TRUE,TRUE,FALSE,elementary_middle,elementary_middle,last_reported=Middle but inferred_grade_type=elementary_middle; corrected to elementary_middle
MOOREFIELD INTERMEDIATE SCHOOL,031205,Elementary,middle,336.5625,0,0,0,0,111.75,113.4375,111.375,0,0,0,0,0,0,0,336.5625,336.5625,111.375,0,1,1,0.3309192200557103,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary; inferred_type=middle (name-based) overridden — grade data confirms elementary
MOOREFIELD MIDDLE SCHOOL,031301,Middle,middle,336.125,0,0,0,0,0,0,0,113.25,113,109.875,0,0,0,0,113.25,336.125,336.125,0,0.3369282261063592,1,1,0,TRUE,FALSE,FALSE,middle,middle,last_reported=Middle
EAST HARDY HIGH SCHOOL,031501,Secondary,high,247.8125,0,0,0,0,0,0,0,0,11.3125,11.25,60.5625,58.875,54.25,51.5625,0,22.5625,22.5625,225.25,0,0.091046658,0.091046658,0.908953342,TRUE,FALSE,TRUE,high,high,last_reported=Secondary
MOOREFIELD HIGH SCHOOL,031502,Secondary,high,438.25,0,0,0,0,0,0,0,0,0,0,116.6875,113.25,107.9375,100.375,0,0,0,438.25,0,0,0,1,FALSE,FALSE,TRUE,high,high,last_reported=Secondary
ADAMSTON ELEMENTARY SCHOOL,033201,Elementary,elementary,274.9166666666667,28,45.25,43.75,41.083333333333336,39.75,38.333333333333336,38.75,0,0,0,0,0,0,0,274.9166666666667,274.9166666666667,38.75,0,1,1,0.1409518035768414,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
JOHNSON ELEMENTARY SCHOOL,033208,Elementary,elementary,640.8125,53.125,94.125,95.1875,96.625,98.1875,100.8125,102.75,0,0,0,0,0,0,0,640.8125,640.8125,102.75,0,1,1,0.1603433141519555,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
LOST CREEK ELEMENTARY SCHOOL,033210,Elementary,elementary,158.5,20.0625,24.9375,23.3125,22.9375,22.625,22,22.625,0,0,0,0,0,0,0,158.5,158.5,22.625,0,1,1,0.1427444794952681,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
LUMBERPORT ELEMENTARY SCHOOL,033211,Elementary,elementary,282.3125,25.4375,42.875,42.75,41.6875,42.625,43.25,43.6875,0,0,0,0,0,0,0,282.3125,282.3125,43.6875,0,1,1,0.1547487270312154,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
MOUNTAINEER ELEMENTARY SCHOOL,033213,Elementary,elementary,303.875,42.5,46.625,44.5,43.625,41.8125,41.5,43.3125,0,0,0,0,0,0,0,303.875,303.875,43.3125,0,1,1,0.1425339366515837,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
NORWOOD ELEMENTARY SCHOOL,033214,Elementary,elementary,330.0769230769231,53.07692307692308,44.61538461538461,45.38461538461539,45.69230769230769,46.30769230769231,46.53846153846154,48.46153846153846,0,0,0,0,0,0,0,330.0769230769231,330.0769230769231,48.46153846153846,0,1,1,0.1468189233278956,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
SIMPSON ELEMENTARY SCHOOL,033220,Elementary,elementary,445.25,47.625,65.8125,66.25,66.3125,66.1875,66.5,66.5625,0,0,0,0,0,0,0,445.25,445.25,66.5625,0,1,1,0.1494946659180235,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
WEST MILFORD ELEMENTARY SCHOOL,033225,Elementary,elementary,414.6875,49.75,58.8125,61.5625,59.8125,60.4375,61.0625,63.25,0,0,0,0,0,0,0,414.6875,414.6875,63.25,0,1,1,0.1525244913338357,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
WILSONBURG ELEMENTARY SCHOOL,033226,Elementary,elementary,223.16666666666663,27.916666666666668,35.25,33,32.333333333333336,32.25,31.33333333333333,31.08333333333333,0,0,0,0,0,0,0,223.16666666666669,223.16666666666669,31.08333333333333,0,1.0000000000000002,1.0000000000000002,0.1392830470500373,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
BIG ELM ELEMENTARY SCHOOL,033231,Elementary,elementary,663,92.375,98.125,95.5,91.4375,91.9375,96,97.625,0,0,0,0,0,0,0,663,663,97.625,0,1,1,0.1472473604826546,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
NUTTER FORT PRIMARY SCHOOL,033232,Primary,elementary,626,139.75,161.5625,164.125,160.5625,0,0,0,0,0,0,0,0,0,0,626,626,0,0,1,1,0,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Primary
NUTTER FORT INTERMEDIATE SCHOOL,033233,Elementary,middle,490.9375,0,0,0,0,164.75,162.5625,163.625,0,0,0,0,0,0,0,490.9375,490.9375,163.625,0,1,1,0.3332908975175048,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary; inferred_type=middle (name-based) overridden — grade data confirms elementary
SALEM ELEMENTARY,033234,Elementary,elementary,249.5,28.875,37.6875,36.5625,35.5,36,37.75,37.125,0,0,0,0,0,0,0,249.5,249.5,37.125,0,1,1,0.1487975951903807,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
VICTORY ELEMENTARY SCHOOL,033236,Elementary,elementary,341.75,35.5,47.75,49.75,54.25,48.25,51.5,54.75,0,0,0,0,0,0,0,341.75,341.75,54.75,0,1,1,0.1602048280907095,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
BRIDGEPORT MIDDLE SCHOOL,033303,Middle,middle,597.875,0,0,0,0,0,0,0,195.9375,201.5,200.4375,0,0,0,0,195.9375,597.875,597.875,0,0.3277231862847585,1,1,0,TRUE,FALSE,FALSE,middle,middle,last_reported=Middle
LINCOLN MIDDLE SCHOOL,033304,Middle,middle,434.625,0,0,0,0,0,0,0,142.6875,144.5,147.4375,0,0,0,0,142.6875,434.625,434.625,0,0.3283002588438309,1,1,0,TRUE,FALSE,FALSE,middle,middle,last_reported=Middle
WASHINGTON IRVING MIDDLE SCHOOL,033307,Middle,middle,572.6,0,0,0,0,0,0,0,193.6,189.53333333333333,189.46666666666667,0,0,0,0,193.6,572.6,572.6,0,0.3381068808941669,1,1,0,TRUE,FALSE,FALSE,middle,middle,last_reported=Middle
SOUTH HARRISON MIDDLE SCHOOL,033308,Middle,middle,275.4375,0,0,0,0,0,0,0,89.3125,92.125,94,0,0,0,0,89.3125,275.4375,275.4375,0,0.3242568640798729,1,1,0,TRUE,FALSE,FALSE,middle,middle,last_reported=Middle
MOUNTAINEER MIDDLE SCHOOL,033309,Middle,middle,425.8666666666667,0,0,0,0,0,0,0,141.6,143.53333333333333,140.73333333333332,0,0,0,0,141.6,425.8666666666667,425.8666666666667,0,0.332498435,1,1,0,TRUE,FALSE,FALSE,middle,middle,last_reported=Middle
EVOLUTION MIDDLE SCHOOL,033310,Alternative,alternative,12.8,0,0,0,0,0,0,0,0.8,2.2,3.8,0,0,0,0,0.8,6.8,6.8,0,0.0625,0.53125,0.53125,0,TRUE,FALSE,FALSE,middle,alternative,unchanged: last_reported_type or name-inferred type is Alternative
LIBERTY MIDDLE SCHOOL,033311,Middle,middle,759,0,0,0,0,0,0,0,204,274,281,0,0,0,0,204,759,759,0,0.2687747035573122,1,1,0,TRUE,FALSE,FALSE,middle,middle,last_reported=Middle
BRIDGEPORT HIGH SCHOOL,033501,Secondary,high,787.9375,0,0,0,0,0,0,0,0,0,0,205.5625,200.8125,195.5,186.0625,0,0,0,787.9375,0,0,0,1,FALSE,FALSE,TRUE,high,high,last_reported=Secondary
LIBERTY HIGH SCHOOL,033502,Secondary,high,524.7333333333333,0,0,0,0,0,0,0,0,0,0,155.8,134,121.13333333333334,113.8,0,0,0,524.7333333333333,0,0,0,1,FALSE,FALSE,TRUE,high,high,last_reported=Secondary
LINCOLN HIGH SCHOOL,033503,Secondary,high,573.125,0,0,0,0,0,0,0,0,0,0,159.6875,149.0625,134.875,129.5,0,0,0,573.125,0,0,0,1,FALSE,FALSE,TRUE,high,high,last_reported=Secondary
SOUTH HARRISON HIGH SCHOOL,033505,Secondary,high,368.5,0,0,0,0,0,0,0,0,0,0,105.1875,93,89.0625,81.25,0,0,0,368.5,0,0,0,1,FALSE,FALSE,TRUE,high,high,last_reported=Secondary
ROBERT C BYRD HIGH SCHOOL,033506,Secondary,high,763.6875,0,0,0,0,0,0,0,0,0,0,225.5625,195.6875,177.3125,165.125,0,0,0,763.6875,0,0,0,1,FALSE,FALSE,TRUE,high,high,last_reported=Secondary
UNITED HIGH SCHOOL,033507,Alternative,alternative,124.7,0,0,0,0,0,0,0,0,0,0,12.2,34.1,45,33.4,0,0,0,124.7,0,0,0,1,FALSE,FALSE,TRUE,high,alternative,unchanged: last_reported_type or name-inferred type is Alternative
EVOLUTION HIGH SCHOOL,033509,Alternative,alternative,27.25,0,0,0,0,0,0,0,0.083333333,0.1666666666666666,0.1666666666666666,7.75,9.75,5.416666666666667,3.9166666666666665,0.083333333,0.4166666666666666,0.4166666666666666,26.83333333333333,0.003058104,0.01529052,0.01529052,0.98470948,FALSE,FALSE,TRUE,high,alternative,unchanged: last_reported_type or name-inferred type is Alternative
PRESSLEY RIDGE SCHOOL,033603,,,32.2,0,0,0,0,0,0,0,0,2.2,4.6,10.8,9.4,4.4,0.8,0,6.8,6.8,25.4,0,0.2111801242236024,0.2111801242236024,0.7888198757763976,TRUE,FALSE,TRUE,high,high,no last_reported_type; inferred_grade_type=high (name: nan)
UNITED TECHNICAL CENTER,033701,,,2.75,0,0,0,0,0,0,0,0,0,0,0.25,0,1.25,1.25,0,0,0,2.75,0,0,0,1,FALSE,FALSE,TRUE,high,high,no last_reported_type; inferred_grade_type=high (name: nan)
COTTAGEVILLE ELEMENTARY SCHOOL,035201,Elementary,elementary,146.3125,17,21.4375,22.1875,22.375,21.4375,20.9375,20.9375,0,0,0,0,0,0,0,146.3125,146.3125,20.9375,0,1,1,0.1431012387868432,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
EVANS ELEMENTARY SCHOOL,035203,Elementary,elementary,159.1875,10.625,25.5,25.5,24.8125,24.375,24.125,24.25,0,0,0,0,0,0,0,159.1875,159.1875,24.25,0,1,1,0.1523360816647035,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
FAIRPLAIN ELEMENTARY SCHOOL,035204,Elementary,elementary,192.8125,30.5625,27.5625,26.8125,27,26.0625,27.3125,27.5,0,0,0,0,0,0,0,192.8125,192.8125,27.5,0,1,1,0.1426256077795786,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
GILMORE ELEMENTARY SCHOOL,035205,Elementary,elementary,196.4375,20.375,28.8125,30.75,29.625,29.9375,29.1875,27.75,0,0,0,0,0,0,0,196.4375,196.4375,27.75,0,1,1,0.1412663060769965,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
KENNA ELEMENTARY SCHOOL,035206,Elementary,elementary,282.125,32.625,39.4375,40.875,40.4375,42.1875,43.3125,43.25,0,0,0,0,0,0,0,282.125,282.125,43.25,0,1,1,0.153300842,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
HENRY J KAISER ELEMENTARY SCHOOL,035207,Primary,elementary,327.875,67.75,85.375,87.8125,86.9375,0,0,0,0,0,0,0,0,0,0,327.875,327.875,0,0,1,1,0,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Primary
RAVENSWOOD GRADE SCHOOL,035208,Elementary,,270.375,0,0,0,0,88.0625,90.8125,91.5,0,0,0,0,0,0,0,270.375,270.375,91.5,0,1,1,0.3384188626907073,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
RIPLEY ELEMENTARY SCHOOL,035209,Elementary,elementary,627.4375,68.125,89.625,92.3125,91.875,93.5625,94.4375,97.5,0,0,0,0,0,0,0,627.4375,627.4375,97.5,0,1,1,0.1553939635421855,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
RAVENSWOOD MIDDLE SCHOOL,035301,Middle,middle,333.625,0,0,0,0,0,0,0,111.5625,110.625,111.4375,0,0,0,0,111.5625,333.625,333.625,0,0.3343949044585987,1,1,0,TRUE,FALSE,FALSE,middle,middle,last_reported=Middle
RIPLEY MIDDLE SCHOOL,035302,Middle,middle,674.125,0,0,0,0,0,0,0,222.4375,225.5,226.1875,0,0,0,0,222.4375,674.125,674.125,0,0.3299647691451882,1,1,0,TRUE,FALSE,FALSE,middle,middle,last_reported=Middle
RAVENSWOOD HIGH SCHOOL,035501,Secondary,high,432.625,0,0,0,0,0,0,0,0,0,0,126.0625,110.9375,98.125,97.5,0,0,0,432.625,0,0,0,1,FALSE,FALSE,TRUE,high,high,last_reported=Secondary
RIPLEY HIGH SCHOOL,035502,Secondary,high,885.25,0,0,0,0,0,0,0,0,0,0,255.625,226.875,207.875,194.875,0,0,0,885.25,0,0,0,1,FALSE,FALSE,TRUE,high,high,last_reported=Secondary
BLUE RIDGE ELEMENTARY SCHOOL,037201,Elementary,elementary,388.3125,28.625,46.875,47.125,67.0625,65.375,66.125,67.125,0,0,0,0,0,0,0,388.3125,388.3125,67.125,0,1,1,0.1728633510381458,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
NORTH JEFFERSON ELEMENTARY,037202,Elementary,elementary,256.6875,47.875,35.4375,33.9375,34.5625,35.5,33.1875,36.1875,0,0,0,0,0,0,0,256.6875,256.6875,36.1875,0,1,1,0.1409788166544923,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
PAGE JACKSON ELEMENTARY,037203,Primary,elementary,398.1875,20.4375,124.6875,127.0625,126,0,0,0,0,0,0,0,0,0,0,398.1875,398.1875,0,0,1,1,0,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Primary
RANSON ELEMENTARY SCHOOL,037204,Elementary,elementary,356.4375,25.9375,55.6875,58.1875,55.25,54.375,54.5625,52.4375,0,0,0,0,0,0,0,356.4375,356.4375,52.4375,0,1,1,0.1471155532176047,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
SHEPHERDSTOWN ELEMENTARY SCHOOL,037205,Elementary,elementary,399.6875,4,59.875,61.875,64.1875,67.4375,70.625,71.6875,0,0,0,0,0,0,0,399.6875,399.6875,71.6875,0,1,1,0.1793588741204065,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
C. W. SHIPLEY ELEMENTARY SCHOOL,037206,Elementary,elementary,379.5625,1.5625,55.5,60.0625,62.625,65.25,67.1875,67.375,0,0,0,0,0,0,0,379.5625,379.5625,67.375,0,1,1,0.1775069981887041,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
SOUTH JEFFERSON ELEMENTARY SCHOOL,037207,Elementary,elementary,478.6875,21.5,71.125,73.9375,73.6875,76.9375,79.5,82,0,0,0,0,0,0,0,478.6875,478.6875,82,0,1,1,0.1713017365191278,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
WRIGHT DENNY INTERMEDIATE SCHOOL,037208,Elementary,middle,396.0625,0,0,0,0,127.4375,133,135.625,0,0,0,0,0,0,0,396.0625,396.0625,135.625,0,1,1,0.3424333280732207,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary; inferred_type=middle (name-based) overridden — grade data confirms elementary
T A LOWERY ELEMENTARY SCHOOL,037209,Elementary,elementary,546.1875,109,68.75,71.8125,73.3125,73.5625,74.875,74.875,0,0,0,0,0,0,0,546.1875,546.1875,74.875,0,1,1,0.1370866231834306,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
DRISWOOD ELEMENTARY SCHOOL,037210,Elementary,elementary,443.625,42.25,62.9375,66.125,65.4375,67.5625,68.375,70.9375,0,0,0,0,0,0,0,443.625,443.625,70.9375,0,1,1,0.1599041983657368,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
BLUE RIDGE PRIMARY,037211,,elementary,198,36.5,79.5,82,0,0,0,0,0,0,0,0,0,0,0,198,198,0,0,1,1,0,0,FALSE,TRUE,FALSE,elementary,elementary,no last_reported_type; inferred_grade_type=elementary (name: elementary)
CHARLES TOWN MIDDLE SCHOOL,037401,Middle,middle,656,0,0,0,0,0,0,0,216.125,220.125,219.75,0,0,0,0,216.125,656,656,0,0.3294588414634146,1,1,0,TRUE,FALSE,FALSE,middle,middle,last_reported=Middle
HARPERS FERRY MIDDLE SCHOOL,037402,Middle,middle,529.5625,0,0,0,0,0,0,0,175.125,176.9375,177.5,0,0,0,0,175.125,529.5625,529.5625,0,0.33069751,1,1,0,TRUE,FALSE,FALSE,middle,middle,last_reported=Middle
SHEPHERDSTOWN MIDDLE SCHOOL,037403,Middle,middle,338.875,0,0,0,0,0,0,0,111.375,114.4375,113.0625,0,0,0,0,111.375,338.875,338.875,0,0.3286610106971597,1,1,0,TRUE,FALSE,FALSE,middle,middle,last_reported=Middle
WILDWOOD MIDDLE SCHOOL,037404,Middle,middle,493.875,0,0,0,0,0,0,0,163.9375,166.125,163.8125,0,0,0,0,163.9375,493.875,493.875,0,0.3319412806884333,1,1,0,TRUE,FALSE,FALSE,middle,middle,last_reported=Middle
JEFFERSON HIGH SCHOOL,037501,Secondary,high,1420.3125,0,0,0,0,0,0,0,0,0,0,391.4375,365.75,347.5625,315.5625,0,0,0,1420.3125,0,0,0,1,FALSE,FALSE,TRUE,high,high,last_reported=Secondary
WASHINGTON HIGH SCHOOL,037502,Secondary,high,1257.6875,0,0,0,0,0,0,0,0,0,0,344.3125,326.125,307.4375,279.8125,0,0,0,1257.6875,0,0,0,1,FALSE,FALSE,TRUE,high,high,last_reported=Secondary
ALBAN ELEMENTARY SCHOOL,039201,Elementary,elementary,330.625,25.9375,49.8125,51.1875,50,50.5625,50.9375,52.1875,0,0,0,0,0,0,0,330.625,330.625,52.1875,0,1,1,0.1578449905482041,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
ALUM CREEK ELEMENTARY SCHOOL,039202,Elementary,elementary,177.1875,16.125,26.375,26.8125,27.1875,27,27.375,26.3125,0,0,0,0,0,0,0,177.1875,177.1875,26.3125,0,1,1,0.1485008818342151,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
ANDREWS HEIGHTS ELEMENTARY SCHOOL,039203,Elementary,elementary,289.6875,36.75,41.625,43.4375,41,40.8125,42.625,43.4375,0,0,0,0,0,0,0,289.6875,289.6875,43.4375,0,1,1,0.1499460625674218,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
ANNE BAILEY ELEMENTARY SCHOOL,039204,Elementary,elementary,265.9375,37.375,39.25,40.9375,39.125,37,37.125,35.125,0,0,0,0,0,0,0,265.9375,265.9375,35.125,0,1,1,0.1320799059929494,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
BELLE ELEMENTARY SCHOOL,039206,Elementary,elementary,277.4375,25.6875,42.3125,43.5625,42.0625,41.5,41.3125,41,0,0,0,0,0,0,0,277.4375,277.4375,41,0,1,1,0.1477810317639108,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
BONHAM ELEMENTARY SCHOOL,039209,,elementary,155,0,37,28,31,26,33,0,0,0,0,0,0,0,0,155,155,0,0,1,1,0,0,FALSE,TRUE,FALSE,elementary,elementary,no last_reported_type; inferred_grade_type=elementary (name: elementary)
BRIDGE ELEMENTARY SCHOOL,039211,Elementary,elementary,131.9090909090909,21.454545454545453,18.63636363636364,18,18.09090909090909,17.272727272727273,18.454545454545453,20,0,0,0,0,0,0,0,131.9090909090909,131.9090909090909,20,0,1,1,0.1516195727084769,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
CEDAR GROVE ELEMENTARY SCHOOL,039213,Elementary,elementary,234.625,20.6875,34.4375,34.4375,34.3125,36.0625,36.75,37.9375,0,0,0,0,0,0,0,234.625,234.625,37.9375,0,1,1,0.1616941928609483,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
CENTRAL ELEMENTARY SCHOOL,039214,Elementary,elementary,369.625,58.875,53.0625,51.875,52.3125,51.625,50.875,51,0,0,0,0,0,0,0,369.625,369.625,51,0,1,1,0.1379776800811633,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
CHAMBERLAIN ELEMENTARY SCHOOL,039215,Elementary,elementary,218.375,15.3125,31.75,34.125,34.5,35.1875,34.0625,33.4375,0,0,0,0,0,0,0,218.375,218.375,33.4375,0,1,1,0.1531196336576989,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
CHESAPEAKE ELEMENTARY SCHOOL,039218,Elementary,elementary,159.4375,17,23.125,23.25,22.375,23.625,25.0625,25,0,0,0,0,0,0,0,159.4375,159.4375,25,0,1,1,0.1568012544100352,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
CLENDENIN ELEMENTARY SCHOOL,039219,Elementary,elementary,308.9375,32.125,44.25,47.5625,45.875,46.5625,46.1875,46.375,0,0,0,0,0,0,0,308.9375,308.9375,46.375,0,1,1,0.1501112684604491,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
CROSS LANES ELEMENTARY SCHOOL,039220,Elementary,elementary,331.375,49.8125,45.3125,46.375,45.75,46.625,48.9375,48.5625,0,0,0,0,0,0,0,331.375,331.375,48.5625,0,1,1,0.1465484722746133,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
DUNBAR PRIMARY CENTER,039222,Primary,elementary,304,36.5,90,90,87.5,0,0,0,0,0,0,0,0,0,0,304,304,0,0,1,1,0,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Primary
FLINN ELEMENTARY SCHOOL,039226,Elementary,elementary,481.8125,15.4375,89.6875,92,92.125,95.3125,97.25,0,0,0,0,0,0,0,0,481.8125,481.8125,0,0,1,1,0,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
GRANDVIEW ELEMENTARY SCHOOL,039231,Elementary,elementary,216.07142857142856,25.714285714285715,33.642857142857146,33.5,31.5,30.785714285714285,30.928571428571427,30,0,0,0,0,0,0,0,216.07142857142856,216.07142857142856,30,0,1,1,0.1388429752066115,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
HOLZ ELEMENTARY SCHOOL,039234,Elementary,elementary,276.375,23.8125,36.4375,40.1875,41.5625,43.125,44.6875,46.5625,0,0,0,0,0,0,0,276.375,276.375,46.5625,0,1,1,0.168475803,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
