local_school_id,year,district_code,District,school_code,school_name,Enrollment,school_type,reported_type,inferred_type_from_grades,Pre-K,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12
4302,2026,4,Berkeley,302,Martinsburg North Middle School,587.0,Middle,Middle,Middle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,206.0,197.0,0.0,0.0,0.0,0.0
4303,2026,4,Berkeley,303,Martinsburg South Middle School,801.0,Middle,Middle,Middle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0,277.0,262.0,0.0,0.0,0.0,0.0
4304,2026,4,Berkeley,304,Musselman Middle School,638.0,Middle,Middle,Middle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,232.0,199.0,0.0,0.0,0.0,0.0
4305,2026,4,Berkeley,305,Spring Mills Middle School,915.0,Middle,Middle,Middle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.0,337.0,309.0,0.0,0.0,0.0,0.0
4306,2026,4,Berkeley,306,Mountain Ridge Middle School,620.0,Middle,Middle,Middle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,212.0,205.0,0.0,0.0,0.0,0.0
4501,2026,4,Berkeley,501,Hedgesville High School,1323.0,Secondary,Secondary,Secondary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382.0,336.0,313.0,292.0
4502,2026,4,Berkeley,502,Martinsburg High School,1495.0,Secondary,Secondary,Secondary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462.0,393.0,300.0,340.0
4503,2026,4,Berkeley,503,Musselman High School,1702.0,Secondary,Secondary,Secondary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464.0,474.0,372.0,392.0
4504,2026,4,Berkeley,504,Spring Mills High School,1536.0,Secondary,Secondary,Secondary,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419.0,379.0,359.0,362.0
4599,2026,4,Berkeley,599,Pikeside Transitional School,67.0,Alternative,Alternative,Secondary,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,7.0,16.0,15.0,18.0
6102,2026,6,Boone,102,Whitesville Elementary School,93.0,Elementary,Elementary,Elementary,15.0,8.0,14.0,15.0,12.0,16.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6201,2026,6,Boone,201,Ashford-rumble Elementary,140.0,Elementary,Elementary,Elementary,14.0,22.0,18.0,23.0,16.0,27.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6207,2026,6,Boone,207,Madison Elementary,240.0,Elementary,Elementary,Elementary,31.0,36.0,29.0,32.0,41.0,36.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6212,2026,6,Boone,212,Ramage Elementary,171.0,Elementary,Elementary,Elementary,22.0,29.0,24.0,24.0,30.0,19.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6215,2026,6,Boone,215,Van Elementary,124.0,Elementary,Elementary,Elementary,10.0,17.0,21.0,20.0,19.0,17.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6219,2026,6,Boone,219,Sherman Elementary School,242.0,Elementary,Elementary,Elementary,24.0,41.0,35.0,38.0,34.0,43.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
